Jabatan: Teknisi Pemeliharaan Sarana dan Prasarana ,,,,,,
Konteks Soal,Soal,A,B,C,D,Jawaban
Mudah,Komponen yang berfungsi untuk memutus dan menghubungkan arus listrik secara manual disebut,MCB,Saklar,Relay,Fuse,B
Mudah,Satuan hambatan listrik dalam sistem internasional adalah …,Volt,Ampere,Ohm,Watt,C
Mudah,"Pada rangkaian listrik rumah, kabel fase biasanya memiliki warna ",Biru,Hijau kuning,Cokelat atau merah,Hitam,C
Mudah,Alat ukur yang digunakan untuk mengukur arus listrik adalah,Voltmeter,Wattmeter,Ammeter,Ohmmeter,C
Mudah,Standar tegangan listrik satu fasa di rumah tangga Indonesia adalah,110 V,220 V,380 V, 12 V,B
Mudah,Pipa yang digunakan sebagai jalur utama distribusi air dari sumber disebut,Pipa servis,Pipa induk,Pipa cabang,Pipa fleksibe,B
Mudah,Alat yang digunakan untuk mengukur tekanan air dalam instalasi adalah,Flow meter,Pressure gauge,Water meter,Hydrant,B
Mudah,Sistem instalasi air bersih yang menggunakan tekanan gravitasi umumnya menempatkan tandon di ,Dalam tanah,Lantai dasar,Atap bangunan,Lantai dua,C
Mudah,Fungsi dari water meter adalah untuk …,Meningkatkan tekanan air,Menyaring kotoran,Mengukur volume pemakaian air,Membuang udara dalam pipa,C
Mudah,Jenis pipa yang sering digunakan untuk instalasi air bersih karena ringan dan tidak berkarat adalah …,Pipa baja hitam,Pipa PVC,Pipa tembaga,Pipa besi cor,B
Mudah,Tujuan utama pemeliharaan peralatan elektronik adalah …,Membuat alat lebih cepat rusak,Menjaga alat tetap berfungsi optimal dan tahan lama,Mengganti alat setiap bulan,Menghemat waktu tanpa perawatan,B
Mudah,Perawatan rutin seperti membersihkan debu pada sirkuit dan ventilasi bertujuan untuk,Menambah beban listrik,Menghindari overheat dan kerusakan dini,Mengurangi efisiensi alat,Meningkatkan konsumsi daya,B
Mudah,Tindakan paling aman sebelum memperbaiki perangkat elektronik adalah,Mematikan sumber listrik dan melepas steker,Menyalakan alat,Meningkatkan tegangan daya,Mengguncang alat,A
Mudah,Perawatan alat elektronik dilakukan agar …,Anggaran perawatan meningkat,Umur pakai alat lebih lama,Alat mudah rusak,Tidak perlu pemeriksaan lagi,B
Mudah,Pengukuran tegangan dilakukan menggunakan alat …,Ohmmeter,Termometer,Osiloskop saja,Voltmeter atau Multimeter,D
Mudah,"Pada sistem kelistrikan elektronik, hubung singkat (short circuit) dapat disebabkan oleh …",Kelembapan tinggi atau kabel rusak,Tegangan stabil,Penggunaan daya sesuai standar,Alat tidak pernah digunakan,A
Mudah,Pemeriksaan fisik pada peralatan elektronik sebaiknya dilakukan,Sekali dalam 5 tahun,Ketika rusak saja,Secara berkala sesuai jadwal pemeliharaan,Hanya saat audit,C
Mudah,"Jika alat elektronik mengeluarkan bau terbakar, tindakan pertama adalah …",Meningkatkan tegangan,Mematikan daya segera dan memeriksa sumber masalah,Menyemprot air,Menutup ventilasi,B
Mudah,Tanda kapasitor rusak biasanya ditunjukkan oleh …,Permukaan datar dan bersih,Bagian atas menggembung atau bocor,Warna mengkilap,Tidak ada perubahan bentuk,B
Mudah,"Saat menggunakan solder, langkah keselamatan yang benar adalah …",Memegang ujung besi solder,Menggunakan alas tahan panas dan ventilasi cukup,Menyentuh langsung logam cair,Tidak memakai sarung tangan,B
Mudah,"Dalam proses usulan pengadaan peralatan laboratorium, dokumen “Berita Acara Pemeriksaan Barang” digunakan untuk…",Menilai kinerja vendor,Menentukan spesifikasi kebutuhan awal,Membuktikan hasil pengecekan fisik dan kesesuaian spesifikasi,Merekam kegiatan pengguna,C
Mudah,"Jika hasil survei lapangan menunjukkan kerusakan ringan pada plafon, langkah teknis pertama sebelum mengusulkan perbaikan adalah…",Membuat RAB langsung,Menyusun gambar kondisi eksisting dan estimasi volume pekerjaan,Mengirim surat ke vendor,Membuat laporan tanpa data teknis,B
Mudah,SOP pengusulan pengadaan sarana prasarana biasanya mensyaratkan lampiran berupa…,Nota dinas tanpa justifikasi teknis,Daftar harga dari toko daring,"Analisis kebutuhan, gambar teknis, dan estimasi biaya",Surat permohonan informal,C
Mudah,"Dalam penyusunan rencana kerja perawatan, prioritas pekerjaan ditentukan berdasarkan…",Kebutuhan pengguna saja,Tingkat risiko dan urgensi kerusakan terhadap fungsi layanan,Urutan masuk permintaan,Usia bangunan,B
Mudah,"Ketika pekerjaan perawatan overlapping di area sama, solusi teknis terbaik adalah…",Melaksanakan bersamaan,Mengatur penjadwalan ulang berbasis analisis risiko kerja dan keselamatan,Menunda tanpa laporan,Menyuruh vendor menyesuaikan sendiri,B
Mudah,"Sebelum melakukan perawatan AC, teknisi wajib melakukan…",Pemeriksaan tekanan refrigeran dan kebersihan filter udara,Penggantian kompresor,Penggantian kabel daya,Pengukuran suhu ruangan,A
Mudah,"Dalam peminjaman alat, pencatatan pada logbook dilakukan agar…",Barang cepat dikembalikan,Mengetahui riwayat penggunaan dan tanggung jawab pengguna,Mengurangi beban admin,Menghindari audit,B
Mudah,Jadwal pemeliharaan lift harus disusun dengan memperhatikan…,Jumlah pengguna harian,Jumlah lantai dan jam operasi,Ketinggian bangunan dan interval penggunaan beban puncak,Semuanya benar,D
Mudah,Rencana kebutuhan peralatan sarpras sebaiknya disusun berdasarkan…,"Kondisi aktual, frekuensi penggunaan, dan masa pakai teknis",Usulan lisan pengguna,Anggaran tahun lalu,Perintah pimpinan,A
Mudah,Audit penggunaan listrik kampus dilakukan untuk…,Mengetahui tagihan bulanan,Menganalisis pola beban dan potensi penghematan energi,Menentukan jumlah lampu,Menilai kualitas jaringan Wi-Fi,B
Sedang,Tujuan utama dari pemeliharaan preventif pada sistem sarana prasarana adalah...,Mengurangi biaya tenaga kerja,Meningkatkan umur pakai dan mencegah kerusakan besar,Mempercepat proses pengadaan barang,Mengurangi frekuensi inspeksi,B
Sedang,Standar operasional pemeliharaan rutin biasanya disusun berdasarkan...,Laporan kerusakan sebelumnya,Manual teknis pabrikan dan kebutuhan operasional,Estimasi subjektif teknisi senior,Kebijakan tahunan keuangan,B
Sedang,"Jika ditemukan retakan kecil pada dinding beton, langkah pertama teknisi adalah...",Mengecat ulang agar terlihat bersih,Melaporkan ke pihak struktur bangunan untuk analisis,Menambal dengan plamir,Membiarkan karena tidak berpengaruh,B
Sedang,Pemeriksaan instalasi listrik berkala bertujuan untuk...,Mengetahui tingkat konsumsi listrik per alat,Menghindari terjadinya hubung singkat atau kebakaran,Menambah daya gedung,Mengurangi biaya pemeliharaan,B
Sedang,"Dalam pemeliharaan peralatan elektronik, kesalahan paling umum yang menyebabkan kerusakan adalah...",Penggunaan alat tanpa SOP,Suhu ruangan terlalu rendah,Sering dimatikan saat digunakan,Dibersihkan terlalu sering,A
Sedang,"Dalam proses pengelolaan peminjaman peralatan, siapa yang bertanggung jawab melakukan validasi kondisi alat?",Pengguna akhir,Teknisi sarpras,Kepala unit kerja,Sekretaris administrasi,B
Sedang,Kegiatan kalibrasi peralatan laboratorium termasuk dalam kategori...,Pemeliharaan preventif,Pemeliharaan korektif,Penggantian total,Penilaian aset,A
Sedang,Tujuan pemeriksaan sistem penerangan darurat adalah...,Menentukan warna lampu,Memastikan sistem berfungsi saat listrik padam,Menghemat konsumsi energi,Menguji efisiensi bohlam,B
Sedang,Tindakan yang tepat jika panel listrik mengeluarkan percikan kecil saat diaktifkan adalah...,Matikan segera sumber utama dan laporkan,Tutup dengan kain isolator,Coba hidupkan ulang beberapa kali,Biarkan menyala karena hal wajar,A
Sedang,"Dalam kegiatan pemeliharaan atap, penggunaan tali pengaman (safety harness) termasuk bagian dari...",SOP pembersihan,Prosedur K3,Pelaporan kegiatan,Audit keamanan,B
Sedang,Salah satu prinsip perawatan sarpras berbasis efisiensi energi adalah...,Menggunakan lampu LED dan sensor gerak,Menambah daya listrik utama,Menyalakan AC terus-menerus,Mengurangi ventilasi alami,A
Sedang,"Jika sebuah proyektor menunjukkan tanda overheating, langkah paling tepat adalah...",Menyalakan kipas eksternal,Mematikan dan membersihkan filter udara,Menurunkan brightness layar,Melepaskan lampu proyektor,B
Sedang,Pengecekan APAR dilakukan setiap...,Bulan,Tiga bulan,Enam bulan,Satu tahun,C
Sedang,"Dalam pelaporan hasil pemeliharaan, bagian yang tidak boleh diabaikan adalah...",Tanggal dan identitas teknisi pelaksana,Jenis font laporan,Jumlah halaman,Warna tabel,A
Sedang,Rambu keselamatan yang pudar harus...,Disimpan di gudang,Segera diganti dengan yang baru,Dihapus agar tidak menyesatkan,Dicat ulang dengan warna gelap,B
Sedang,Pemeriksaan sistem tata udara (AC) meliputi pengecekan tekanan refrigerant. Tujuan utamanya adalah...,Mengetahui jumlah pendingin yang digunakan,Menjaga performa pendinginan optimal,Menghemat daya listrik,Mengetahui kapasitas ruangan,B
Sedang,Penggunaan panel surya di lingkungan kampus bertujuan untuk...,Mengurangi beban jaringan listrik utama,Menyerap panas ruangan,Mengatur distribusi air,Meningkatkan suhu udara,A
Sedang,Pemeliharaan sistem pompa air dilakukan dengan fokus pada...,Kebersihan ruang pompa,Tekanan air dan kondisi bearing motor,Jumlah air yang dihasilkan,Warna pipa air,B
Sedang,"Inspeksi rutin gedung melibatkan pengecekan dinding, plafon, dan lantai untuk...",Menentukan usia bangunan,Mendeteksi potensi kerusakan struktural,Menilai estetika interior,Menentukan pola cat,B
Sedang,Dokumentasi hasil inspeksi sarpras digunakan untuk...,Keperluan audit dan perencanaan pemeliharaan lanjutan,Pameran visual proyek,Arsip dekoratif,Penghargaan staf,A
Sedang,"Dalam pemeliharaan jaringan listrik, pengecekan continuity bertujuan memastikan...",Arus listrik mengalir dengan benar tanpa hambatan,Tegangan berlebih tersedia,Grounding tidak terhubung,Arus terputus di ujung sirkuit,A
Sedang,Tanda kebocoran pada plafon gypsum biasanya menunjukkan masalah pada...,Pipa air atau atap di atasnya,Dinding luar,Saluran udara,Sistem kelistrikan,A
Sedang,"Untuk mencegah overheating pada peralatan listrik, teknisi perlu memastikan...",Sirkulasi udara cukup dan beban listrik tidak berlebih,Kabel disusun rapi tanpa isolasi,Alat dibiarkan menyala 24 jam,Penggunaan daya maksimum,A
Sedang,Pemeliharaan sistem sanitasi mencakup kegiatan...,"Pengecekan saluran air, septic tank, dan pompa limbah",Pengecatan ulang dinding,Penggantian lampu,Pemolesan lantai,A
Sedang,"Dalam manajemen aset sarpras, data barang rusak harus...",Dihapus dari sistem,Dilaporkan untuk penilaian perbaikan atau penghapusan,Dipertahankan tanpa catatan,Disimpan di ruang tertutup,B
Sedang,Prinsip utama predictive maintenance adalah...,Melakukan perawatan berdasarkan jadwal tetap,Menggunakan data sensor dan analisis kondisi alat,Menunggu alat rusak,Mengganti alat tiap tahun,B
Sedang,"Dalam pemeliharaan kebersihan gedung, area yang paling kritis dan memerlukan pemeriksaan harian adalah...",Lantai dan toilet,Plafon,Ruang server,Area taman,A
Sedang,Penerapan konsep Green Building di kampus termasuk dalam kategori...,Pengelolaan limbah dan efisiensi energi,Penambahan jumlah AC,Penggunaan lampu pijar,Pengurangan ventilasi alami,A
Sedang,"Dalam penggunaan alat ukur listrik, teknisi harus memastikan alat tersebut...",Telah dikalibrasi dan berfungsi baik,Tersimpan di tempat panas,Hanya digunakan oleh teknisi baru,Tidak diuji setelah dipakai,A
Sedang,Tujuan akhir dari kegiatan pemeliharaan sarana dan prasarana adalah...,"Meningkatkan kenyamanan, keamanan, dan efisiensi operasional aset",Menghemat biaya jangka pendek,Meminimalkan laporan kegiatan,Mengurangi jumlah teknisi,A
Sulit,Format “Peta Kerja Perawatan” biasanya memuat…,"Nama vendor, jumlah tenaga kerja, dan warna cat","Jadwal, lokasi, jenis pekerjaan, tenaga pelaksana, serta estimasi durasi",Hanya data kerusakan,Anggaran umum tanpa rincian,B
Sulit,Pengendalian proses perbaikan sarpras dilakukan dengan alat bantu berupa…,Jadwal kerja manual,Work order tracking sheet dan checklist hasil inspeksi,Laporan keuangan,Surat pengantar,B
Sulit,"Jika alat yang dipinjam rusak setelah digunakan, langkah prosedural pertama adalah…",Mengembalikan tanpa laporan,Menyusun berita acara kerusakan disertai foto dan kronologi,Menunggu audit sarpras,Langsung perbaiki sendiri,B
Sulit,"Dalam perhitungan volume pekerjaan perbaikan plafon gypsum berukuran 8 m × 6 m dengan 15% area rusak, berapa luas yang perlu diganti?","4,8 m²","5,4 m²","7,2 m²","9,0 m²",C
Sulit,"Saat menyusun RAB untuk pekerjaan pengecatan tembok, satuan pekerjaan yang benar digunakan dalam analisis harga satuan adalah…",m³,liter,m²,unit,C
Sulit,"Jika dalam survei ditemukan kelembapan dinding >70% RH, tindakan teknis sebelum pengecatan adalah…",Mengeringkan dengan blower dan aplikasi waterproofing primer,Langsung mengecat dua lapis,Mengganti cat dengan warna muda,Menambah pencahayaan ruangan,A
Sulit,"Untuk menilai efektivitas perawatan AC, indikator teknis paling valid adalah…",Suhu ruangan,Ampere kerja kompresor dan delta suhu udara masuk-keluar evaporator,Jumlah AC yang dibersihkan,Jadwal servis,B
Sulit,"Untuk peralatan yang sering dipinjam seperti measuring tools, metode pemeliharaan preventif yang tepat adalah…",Kalibrasi berkala sesuai standar ISO dan pencatatan hasil uji,Penggunaan bebas tanpa kontrol,Penggantian setiap 6 bulan,Simpan tanpa pemeriksaan,A
Sulit,"Saat inspeksi atap dak beton ditemukan retak rambut memanjang 0,3 mm, tindakan teknis perbaikan yang benar adalah…",Menutup dengan plester semen biasa,Mengisi dengan bahan injeksi epoxy low-viscosity,Menambah lapisan cat,Mengecat ulang,B
Sulit,"Untuk menentukan jadwal perawatan pompa air, parameter operasional yang harus dipantau adalah…",Suhu ruang pompa,"Arus motor, tekanan output, dan debit aktual",Warna cat pompa,Usia pompa,B
Sulit,"Dalam pemeriksaan sistem instalasi listrik gedung, resistansi isolasi kabel idealnya tidak kurang dari…","0,1 MΩ","0,5 MΩ",1 MΩ,5 MΩ,C
Sulit,"Jika sistem drainase tersumbat dan air menggenang >5 cm selama >2 jam, maka risiko utama adalah…",Gangguan estetika,Penurunan daya dukung tanah dan kerusakan fondasi,Bau tak sedap,Serangan hama,B
Sulit,Pemeriksaan APAR tipe dry chemical powder harus memastikan bahwa…,Berat tabung tidak berubah >10% dari nominal,Warna cat masih cerah,Diletakkan di ruang ber-AC,Tali segel masih utuh,A
Sulit,"Dalam pemeriksaan jalur evakuasi, jarak maksimal antar tanda arah keluar adalah…",10 meter,15 meter,30 meter,45 meter,C
Sulit,Perawatan lampu taman berbasis solar cell perlu memperhatikan…,Tegangan output panel minimal 18 V untuk baterai 12 V,Jenis lampu,Letak di bawah pepohonan,Pembersihan panel setiap 6 bulan,A
Sulit,"Dalam pekerjaan pengecatan luar gedung, nilai moisture content permukaan dinding sebelum pengecatan maksimum adalah…",15%,20%,25%,30%,A
Sulit,Salah satu indikator efisiensi penggunaan air adalah…,Pengurangan total debit tanpa mempertimbangkan kebutuhan,Rasio penggunaan air per kapita terhadap standar efisiensi nasional,Penambahan sumur baru,Penggantian pipa besar,B
Sulit,Penggunaan automatic timer pada sistem pencahayaan luar gedung bertujuan untuk…,Mengatur estetika cahaya,Menghemat energi dengan waktu operasi terjadwal,Menambah daya lampu,Menstabilkan arus listrik,B
Sulit,Sistem pengelolaan air kampus berbasis Smart Eco Campus biasanya dilengkapi sensor untuk…,Mengukur pH air,Mendeteksi kebocoran dan volume penggunaan secara otomatis,Mendeteksi warna air,Mengatur tekanan pompa manual,B
Sulit,"Dalam sistem panel surya kampus, inverter berfungsi untuk…",Menyimpan energi,Mengubah arus DC dari panel menjadi AC untuk distribusi listrik,Menyerap panas,Mengatur frekuensi jaringan,B
Sulit,"Dalam sistem pencahayaan kampus, efisiensi energi lampu LED dibandingkan TL konvensional rata-rata mencapai…",10–15%,30–40%,50–60%,70–80%,C
Sulit,Sensor PIR (Passive Infrared) akan gagal mendeteksi jika…,Ditempatkan di area dengan suhu latar tinggi mendekati suhu tubuh,Arus terlalu kecil,Ditempatkan di ruang tertutup,Tersambung dengan relay,A
Sulit,"Ketika sistem monitoring air menampilkan data anomali tekanan negatif di jalur utama, kemungkinan penyebab teknisnya adalah…",Kebocoran pipa atau pompa tidak berfungsi optimal,Penurunan permintaan air,Kelebihan suplai,Pengaturan sensor salah,A
Sulit,"Dalam sistem PLTS on-grid, fungsi utama inverter adalah…",Menyimpan daya,Sinkronisasi tegangan dan frekuensi dengan jaringan PLN,Mengubah AC ke DC,Mengatur suhu panel,B
Sulit,Penghematan listrik optimal pada chiller dapat dilakukan dengan…,Mengatur suhu evaporator mendekati titik beku,Menurunkan chilled water temperature setpoint sesuai beban aktual,Menambah volume air pendingin,Mengoperasikan tanpa sensor,B
Sulit,"Dalam pemeliharaan sistem hydrant, komponen yang paling sering gagal dan wajib diuji tekan adalah:",Valve utama,Pipa tegak,Nozzle,Tangki air,A
Sulit,"Dalam audit energi, rasio antara konsumsi aktual dan konsumsi standar disebut:",Energy Utilization Index (EUI),Coefficient of Performance (COP),Load Factor,Thermal Efficiency,A
Sulit,Analisis Life Cycle Cost (LCC) digunakan dalam pengelolaan sarpras untuk:,Menentukan efisiensi pembelian jangka pendek,Menilai total biaya kepemilikan aset hingga masa akhir pakai,Menilai nilai sisa bangunan,Menghitung depresiasi tahunan,B
Sulit,"Apabila terdapat perbedaan antara gambar as-built dan kondisi nyata, teknisi harus:",Membuat catatan minor saja,Melakukan redline drawing untuk pembaruan dokumen,Mengabaikan karena tidak kritis,Mengabaikan karena tidak kritis,B
Sulit,Dokumen “Maintenance History Card” digunakan untuk mencatat:,Estimasi biaya tahunan,Jadwal kerja teknisi,Data peralatan dan riwayat perbaikan,Daftar aset baru,C