Jabatan,Asesment,Waktu (detik),Konteks Soal,Soal,A,B,C,D,Jawaban,Feedback
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,"Dalam sistem panel surya kampus, inverter berfungsi untuk…",Menyimpan energi,Mengubah arus DC dari panel menjadi AC untuk distribusi listrik,Menyerap panas,Mengatur frekuensi jaringan,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,"Dalam sistem pencahayaan kampus, efisiensi energi lampu LED dibandingkan TL konvensional rata-rata mencapai…",10–15%,30–40%,50–60%,70–80%,C,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,Sensor PIR (Passive Infrared) akan gagal mendeteksi jika…,Ditempatkan di area dengan suhu latar tinggi mendekati suhu tubuh,Arus terlalu kecil,Ditempatkan di ruang tertutup,Tersambung dengan relay,A,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,"Ketika sistem monitoring air menampilkan data anomali tekanan negatif di jalur utama, kemungkinan penyebab teknisnya adalah…",Kebocoran pipa atau pompa tidak berfungsi optimal,Penurunan permintaan air,Kelebihan suplai,Pengaturan sensor salah,A,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,"Dalam sistem PLTS on-grid, fungsi utama inverter adalah…",Menyimpan daya,Sinkronisasi tegangan dan frekuensi dengan jaringan PLN,Mengubah AC ke DC,Mengatur suhu panel,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,Penghematan listrik optimal pada chiller dapat dilakukan dengan…,Mengatur suhu evaporator mendekati titik beku,Menurunkan chilled water temperature setpoint sesuai beban aktual,Menambah volume air pendingin,Mengoperasikan tanpa sensor,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,"Dalam pemeliharaan sistem hydrant, komponen yang paling sering gagal dan wajib diuji tekan adalah:",Valve utama,Pipa tegak,Nozzle,Tangki air,A,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,"Dalam audit energi, rasio antara konsumsi aktual dan konsumsi standar disebut:",Energy Utilization Index (EUI),Coefficient of Performance (COP),Load Factor,Thermal Efficiency,A,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,Analisis Life Cycle Cost (LCC) digunakan dalam pengelolaan sarpras untuk:,Menentukan efisiensi pembelian jangka pendek,Menilai total biaya kepemilikan aset hingga masa akhir pakai,Menilai nilai sisa bangunan,Menghitung depresiasi tahunan,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,"Apabila terdapat perbedaan antara gambar as-built dan kondisi nyata, teknisi harus:",Membuat catatan minor saja,Melakukan redline drawing untuk pembaruan dokumen,Mengabaikan karena tidak kritis,Mengabaikan karena tidak kritis,B,
Teknisi,Layanan Sarana dan Prasarana,750,Sulit,Dokumen “Maintenance History Card” digunakan untuk mencatat:,Estimasi biaya tahunan,Jadwal kerja teknisi,Data peralatan dan riwayat perbaikan,Daftar aset baru,C,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Mudah,Fungsi utama ruang terbuka hijau di kampus adalah …,Tempat parkir,Penyerap polutan udara,Gudang peralatan,Area komersial,B,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Mudah,Tanaman yang sering digunakan sebagai peneduh di area kampus adalah…,Cemara,Jagung,Padi,Kaktus,A,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Mudah,Alat yang digunakan untuk menyiram tanaman secara manual adalah…,Sprayer,Bor Listrik,Tang,Meteran,A,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Mudah,Jenis pupuk yang umum digunakan untuk menyuburkan tanaman hijau adalah…,Pupuk Urea,Pupuk Kandang,Pupuk Pasir,Pupuk Kapur,A,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Mudah,Warna standar rambu larangan merokok di area RTH adalah…,Hijau,Kuning,Merah,Biru,C,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Mudah,Sistem irigasi sederhana yang sering dipakai di taman kampus adalah…,Sprinkler otomatis,Saluran beton,Saluran beton,Drip irrigation,D,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Mudah,Fungsi utama rumput di lapangan yaitu…,Tempat parkir,Estetika dan penyerapan air,Menyimpang barang,Mengurangi cahaya,B,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Mudah,Sampah organik dari daun kering sebaiknya…,Dikomposkan,Dibakar,Disimpan di gudang,Dibuang ke sungai,A,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Mudah,Fungsi dari water meter adalah untuk...,Mengukur volume pemakaian air,Mengukur suhu air,Mengukur debit air,Mengukur tekanan air,A,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Mudah,Sistem instalasi air bersih yang menggunakan tekanan gravitasi umumnya maka tandon diletakkan di …,Ruang pompa,Lantai dasar,Atap bangunan,Basement,C,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Mudah,Pipa yang digunakan sebagai jalur utama distribusi air dari sumber disebut …,Pipa cabang,Pipa induk,Pipa fleksibel,Pipa paralel,B,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Mudah,Alat yang digunakan untuk mengukur tekanan air dalam instalasi adalah …,Flowmeter,Barometer,Hydrometer,Manometer,D,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Mudah,Jenis pipa yang sering digunakan untuk instalasi air bersih karena ringan dan tidak berkarat adalah …,Pipa PVC,Pipa tembaga,Pipa beton,Pipa besi,A,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Mudah,Alat ukur yang digunakan untuk mengukur arus listrik adalah …,Amperemeter,Wattmeter,Voltmeter,Ohmmeter,C,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Mudah,"Pada rangkaian listrik rumah, kabel fase biasanya memiliki warna …",Hijau,Kuning,Merah,Biru,C,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sedang,Standar operasional pemeliharaan rutin biasanya disusun berdasarkan...,Logbook,SOP,Estimasi teknisi,Peraturan informal,B,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sedang,"Jika ditemukan retakan kecil pada dinding beton, langkah pertama teknisi adalah...",Mengecat ulang,Melakukan pemeriksaan visual dan dokumentasi,Membongkar dinding,Menutup dengan gypsum,B,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sedang,"Dalam proses pengelolaan peminjaman peralatan, siapa yang bertanggung jawab melakukan validasi kondisi alat?",Teknisi Sarpras,SKK,Mahasiswa,Dosen,A,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sedang,"Dalam pemeliharaan peralatan elektronik, kesalahan paling umum yang menyebabkan kerusakan adalah...",Tegangan rendah,Kabel terlalu panjang,Overheating akibat debu,Warna kabel salah,C,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sedang,Tujuan pemeriksaan sistem penerangan darurat adalah...,Menghemat energi,Menambah estetika,Mengurangi jumlah lampu,Menjamin fungsi saat keadaan darurat,D,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sedang,Tindakan yang tepat jika panel listrik mengeluarkan percikan kecil saat diaktifkan adalah...,Membiarkan saja,Mematikan panel dan memeriksa instalasi,Menambah beban listrik,Mengganti kabel fase,B,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sedang,"Dalam kegiatan pemeliharaan atap, penggunaan tali pengaman (safety harness) termasuk bagian dari..",K3 (Keselamatan dan Kesehatan Kerja),Efisiensi energi,Estetika,Dokumentasi,A,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sedang,Tujuan utama pemangkasan pohon di area kampus adalah …,Menambah biaya,Mengurangi jumlah pohon,Mengurangi oksigen,Estetika dan keselamatan,D,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sedang,Prinsip green campus dalam pengelolaan RTH adalah …,Mengurangi tanaman,Efisiensi energi dan ramah lingkungan,Menambah kendaraan,Penambahan beton,B,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sedang,Sistem drainase di RTH berfungsi untuk …,Mengalirkan Air Hujan,Menyimpan alat,Mengurangi tanaman,Menyimpan pupuk,A,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sedang,"Jika ditemukan genangan air di taman lebih dari 24 jam, kemungkinan masalah ada pada …",Jumlah tanaman,Kekurangan pupuk,Drainase tersumbat,Warna cat bangku,C,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sedang,"Jika pohon tumbang akibat angin kencang, langkah pertama teknisi adalah …",Mengamankan area,Menambah pupuk,Mengecat pohon,Membiarkan pohon,A,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sedang,Pemeliharaan lampu taman berbasis solar cell meliputi …,Pemangkasan pohon,Penambahan pupuk,Pengecatan ulang,Pembersihan panel surya,D,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sedang,Penggunaan kompos di RTH bertujuan untuk …,Mengurangi tanaman,Menyuburkan tanah,Mengurangi air,Menambah beton,B,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sedang,"Jika ditemukan pohon dengan akar merusak trotoar, tindakan teknis adalah …",Relokasi pohon,Membiarkan,Menambah pupuk,Mengecat akar,A,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sulit,"Jika kelembaban tanah di area taman <30%, tindakan teknis yang benar adalah...",Mengecat tanah,Menambah beton,Menambah irigasi,Mengurangi pupuk,C,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sulit,Sistem rainwater harvesting di RTH berfungsi untuk …,Mengurangi tanaman,Menyimpan pupuk,Menyimpan air hujan,Menyimpan tanah,C,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sulit,"Dalam pemeliharaan pohon besar, standar diameter batang yang wajib dipasang penyangga adalah …",<15 cm,>20 cm,>50 cm,>5 cm,B,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sulit,Prinsip predictive maintenance pada sistem irigasi RTH adalah …,Mengecat pipa,Menambah tanah,Mengukur debit air,Monitoring sensor kelembaban,D,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sulit,"Jika ditemukan retakan pada jalur pedestrian RTH sepanjang 5 m dengan lebar 0,5 m, volume perbaikan beton adalah …","0,5 m²",10 m²,5 m²,"2,5 m²",D,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sulit,"Dalam sistem pencahayaan luar gedung, penggunaan automatic timer bertujuan untuk …",Efisiensi energi,Efisiensi waktu,Menambah biaya,Mengurangi waktu kerja,A,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sulit,"Jika terdapat perbedaan antara gambar as-built RTH dan kondisi nyata, langkah teknisi adalah …",Membiarkan sampai direvisi pihak terkait,Melakukan revisi dokumentasi,Menambah titik sesuai keinginan,Melaporkan saja,B,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sulit,"Dalam audit energi RTH, indikator efisiensi lampu taman LED dibandingkan TL konvensional adalah …",Tidak ada perbedaan,50% lebih efisien,Sama saja,15% lebih boros,B,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sulit,Format “Peta Kerja Perawatan” biasanya memuat…,Lokasi dan Foto Gedung,Nama teknisi dan jadwal ,Foto gedung,"Jadwal, lokasi, jenis pekerjaan, teknisi penanggung jawab",D,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sulit,"Dalam perhitungan volume pekerjaan perbaikan plafon gypsum berukuran 8 m × 6 m dengan 15% area rusak, berapa luas yang perlu diganti?","9,6 m²","7,2 m²","4,8 m²","8,0 m²",B,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sulit,"Saat inspeksi atap dak beton ditemukan retak rambut memanjang 0,3 mm, tindakan teknis perbaikan yang benar adalah…",Injeksi epoxy atau sealant,Menutup dengan gypsum,Dibiarkann sampai kondisi lebih parah,Pengecatan ulang,A,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sulit,"Dalam audit energi, rasio antara konsumsi aktual dan konsumsi standar disebut dengan",Energy Saving Ratio,Energy Balancing ,Energy Performance Index (EPI),Energy Audit Report,C,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sulit,"Untuk menilai efektivitas perawatan AC, indikator teknis paling valid adalah…",Suhu keluaran dan tekanan refrigeran,Panjang kabel,Jumlah filter,Warna casing,A,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sulit,"Dalam pemeriksaan sistem instalasi listrik gedung, resistansi isolasi kabel idealnya tidak kurang dari…",10 kΩ,100 Ω,1 MΩ,"0,5 MΩ",C,
Teknisi,Gedung dan Ruang Terbuka Hijau (RTH),750,Sulit,"Saat menyusun RAB untuk pekerjaan pengecatan tembok, satuan pekerjaan yang benar digunakan dalam analisis harga satuan adalah…",Meter,Kg,Liter,m² (meter persegi),D,
Teknisi,Smart Eco-Campus,750,Mudah,"Penghematan listrik di gedung mencakup beberapa sistem, kecuali:",Tata cahaya,Tata udara,Peralatan pendukung,Sistem keamanan,D,
Teknisi,Smart Eco-Campus,750,Mudah,Jenis lampu yang dianjurkan untuk penghematan energi adalah:,Lampu pijar,Lampu LED,Lampu halogen,Lampu hias berdaya tinggi,B,
Teknisi,Smart Eco-Campus,750,Mudah,Tingkat pencahayaan terendah untuk ruang kerja menurut SNI adalah:,150 lux,250 lux,300 lux,350 lux,D,
Teknisi,Smart Eco-Campus,750,Mudah,Daya pencahayaan maksimum untuk ruang arsip adalah:,4 Watt/m2,6 Watt/m2,8 Watt/m2,12 Watt/m2,B,
Teknisi,Smart Eco-Campus,750,Mudah,Suhu ruangan ber-AC yang dianjurkan adalah:,22–24°C,23–25°C,25–27°C,28–30°C,C,
Teknisi,Smart Eco-Campus,750,Mudah,AC sebaiknya dimatikan bila:,Fan menyala,Cuaca panas,Ruangan kosong,Jam istirahat,C,
Teknisi,Smart Eco-Campus,750,Mudah,Salah satu cara menghemat air adalah:,Membuka kran penuh,Menggunakan air tanpa batas,Memakai kran otomatis,Menambah debit pompa,C,
Teknisi,Smart Eco-Campus,750,Mudah,Komputer sebaiknya dimatikan bila ditinggal lebih dari:,10 menit,20 menit,30 menit,60 menit,C,
Teknisi,Smart Eco-Campus,750,Mudah,Ballast yang dianjurkan pada lampu TL adalah:,Ballast magnetik,Ballast manual,Ballast elektronik,Ballast mekanik,C,
Teknisi,Smart Eco-Campus,750,Mudah,Daya pencahayaan maksimal untuk lobi dan koridor adalah:,2 Watt/m2,4 Watt/m2,6 Watt/m2,10 Watt/m2,B,
Teknisi,Smart Eco-Campus,750,Mudah,Pemanfaatan cahaya alami dilakukan dengan:,Menutup tirai rapat,Membuka tirai secukupnya,Menambah lampu meja,Memasang lampu hias,B,
Teknisi,Smart Eco-Campus,750,Mudah,Kendaraan dinas dianjurkan:,Memakai BBM subsidi,Jarang diservis,Dirawat berkala,Mengemudi cepat,C,
Teknisi,Smart Eco-Campus,750,Mudah,Mesin kendaraan sebaiknya dimatikan saat:,Berjalan pelan,Menunggu lama,Event kantor,Pemeriksaan ban,B,
Teknisi,Smart Eco-Campus,750,Mudah,Lift dioperasikan hemat energi dengan berhenti tiap:,1 lantai,2 lantai,3 lantai,Semua lantai,B,
Teknisi,Smart Eco-Campus,750,Mudah,Lampu taman dapat diatur otomatis menggunakan:,Thermostat,Timer,UPS,Kapasitor,B,
Teknisi,Smart Eco-Campus,750,Sedang,Daya pencahayaan ruang kerja sesuai SNI adalah:,10 Watt/m2,12 Watt/m2,15 Watt/m2,20 Watt/m2,B,
Teknisi,Smart Eco-Campus,750,Sedang,Tingkat pencahayaan minimum koridor menurut SNI adalah:,50 lux,100 lux,150 lux,200 lux,B,
Teknisi,Smart Eco-Campus,750,Sedang,Urutan penghematan pada armatur lampu dilakukan dengan:,Menambah lampu,Mengurangi lampu,Memasang dimmer saja,Mengganti saklar utama,B,
Teknisi,Smart Eco-Campus,750,Sedang,Rentang RH yang dianjurkan pada ruangan ber-AC adalah:,30–40%,40–50%,50–60%,60–70%,C,
Teknisi,Smart Eco-Campus,750,Sedang,Penghematan AC dapat dilakukan dengan:,Menambah kompresor,Memakai AC non-inverter,Menggunakan timer switch,Membuka jendela lebar,C,
Teknisi,Smart Eco-Campus,750,Sedang,Teknologi AC yang paling efisien adalah:,AC split lama,AC portable,AC inverter,AC freon lama,C,
Teknisi,Smart Eco-Campus,750,Sedang,Monitoring penggunaan listrik real time menggunakan:,Meter analog,Smart meter,Laporan manual,Pengecekan visual,B,
Teknisi,Smart Eco-Campus,750,Sedang,Audit energi bertujuan untuk:,Menambah daya listrik,Mencari potensi penghematan,Membeli alat baru,Merenovasi total gedung,B,
Teknisi,Smart Eco-Campus,750,Sedang,Sistem otomasi gedung untuk efisiensi energi disebut:,Eco controller,Building Automation System,Smart PJU,Central controller,B,
Teknisi,Smart Eco-Campus,750,Sedang,Penghematan PJU malam hari dilakukan dengan menyalakan:,100% sepanjang malam,75% daya total,50% daya total,30% daya total,C,
Teknisi,Smart Eco-Campus,750,Sedang,Lampu LED dianjurkan untuk ruang terbuka karena:,Lebih terang saja,Lebih mahal,Lebih hemat energi,Lebih besar daya,C,
Teknisi,Smart Eco-Campus,750,Sedang,Material bangunan hemat energi meliputi:,Kaca biasa,Material insulasi termal,Cat tembok biasa,Lampu pijar,B,
Teknisi,Smart Eco-Campus,750,Sedang,Sistem load shifting dilakukan untuk:,Memindah lokasi panel,Mengatur waktu beban listrik,Menambah lux ruangan,Menghemat air,B,
Teknisi,Smart Eco-Campus,750,Sedang,Panel surya pada gedung berfungsi untuk:,Cadangan genset,Mengurangi konsumsi listrik PLN,Menambah panas ruangan,Mengganti AC,B,
Teknisi,Smart Eco-Campus,750,Sedang,Pembuatan dashboard energi digital bertujuan untuk:,Arsip administrasi,Pemantauan langsung konsumsi energi,Mengatur RH ruangan,Mengontrol lift,B,
Teknisi,Smart Eco-Campus,750,Sulit,Urutan penyalaan AC central yang benar adalah:,"Kompresor dulu, lalu fan","Fan 30 menit sebelum jam kerja, kompresor 1 jam kemudian",Fan dan kompresor bersamaan,Semua alat AC dinyalakan penuh,B,
Teknisi,Smart Eco-Campus,750,Sulit,Pada PJU jalan protokol jam 24:00–05:45 lampu menyala:,100%,80%,50%,30%,C,
Teknisi,Smart Eco-Campus,750,Sulit,Peredupan (dimming) PJU dapat diterapkan sampai:,20%,30%,40%,60%,C,
Teknisi,Smart Eco-Campus,750,Sulit,PLTS atap 10 kWp diperkirakan menghasilkan:,±5.000 kWh/tahun,±8.000 kWh/tahun,±12.000 kWh/tahun,±20.000 kWh/tahun,C,
Teknisi,Smart Eco-Campus,750,Sulit,EnPI digunakan untuk:,Alat kontrol AC,Indikator kinerja energi,Sensor cahaya,Pengatur kulkas,B,
Teknisi,Smart Eco-Campus,750,Sulit,Penerapan load shedding bertujuan untuk:,Memadamkan semua alat,Mengendalikan beban puncak otomatis,Menambah kapasitor,Mengganti PLTS,B,
Teknisi,Smart Eco-Campus,750,Sulit,Optimalisasi panas gedung sisi barat dilakukan dengan:,Menambah lampu,Memasang kaca film/pelapis dinding,Membuka jendela lebar,Menambah AC,B,
Teknisi,Smart Eco-Campus,750,Sulit,"Diversifikasi energi kampus dapat berupa, kecuali:",Energi surya,Energi angin,Kapasitor bank,Lampu hias pijar,D,
Teknisi,Smart Eco-Campus,750,Sulit,Manajemen beban lift yang dianjurkan adalah:,Berhenti tiap lantai,Berhenti tiap 2 lantai,Berhenti tiap 3 lantai,Tanpa pembatasan,B,
Teknisi,Smart Eco-Campus,750,Sulit,Monitoring panel surya secara teknis dilakukan melalui:,RH meter,Smart controller,Photocell saja,Timer kulkas,B,
Teknisi,Smart Eco-Campus,750,Sulit,Urutan mematikan AC central yang benar adalah:,"Fan dulu, kompresor kemudian","Kompresor 1 jam sebelum kerja berakhir, fan saat jam kerja berakhir",Semua bersamaan,Kompresor saja,B,
Teknisi,Smart Eco-Campus,750,Sulit,Faktor daya listrik dapat ditingkatkan menggunakan:,Timer,Sensor gerak,Kapasitor bank,Smart kulkas,C,
Teknisi,Smart Eco-Campus,750,Sulit,Baseline energi disusun untuk:,Menghapus data,Menjadi acuan efisiensi,Menambah daya,Mengganti BBM,B,
Teknisi,Smart Eco-Campus,750,Sulit,Penerapan sistem hybrid energi bertujuan untuk:,Mengganti seluruh PLN,Kombinasi PLN dan energi terbarukan,Menambah panas gedung,Memasang EnPI,B,
Teknisi,Smart Eco-Campus,750,Sulit,Dashboard energi digital paling tepat digunakan untuk:,Mengatur mode printer,Memantau konsumsi dan pembangkitan energi langsung,Mengontrol emisi kendaraan,Mengatur jam nyala kulkas,B,